graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
powerlaw,80,100,291,0.058788,False,0.170073,0.015081,0.058788,2.47798,3.052542,0.334024
powerlaw,80,100,475,0.09596,False,0.202167,0.012432,0.09596,2.218384,1.942669,0.255317
complete,80,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,80,100,491,0.099192,False,0.650822,0.030365,0.099192,4.036487,3.22246,0.66937
unit_disk,80,100,996,0.201212,False,0.703536,0.015182,0.201212,2.487879,2.163352,0.559646
grid_2d,80,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,80,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,81,100,3457,0.698384,True,0.697578,0.003078,0.698384,1.301616,0.834241,0.036871
dense_random,81,100,4471,0.903232,True,0.903346,0.000987,0.903232,1.096768,0.934579,0.015731
powerlaw,81,100,291,0.058788,False,0.228429,0.015397,0.058788,2.508889,4.049436,0.343176
powerlaw,81,100,475,0.09596,False,0.17568,0.012286,0.09596,2.20404,1.699132,0.237695
complete,81,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,81,100,536,0.108283,False,0.643278,0.027419,0.108283,3.687071,3.12801,0.628773
unit_disk,81,100,1102,0.222626,False,0.697802,0.013954,0.222626,2.367475,1.971314,0.49165
grid_2d,81,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,81,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,82,100,3431,0.693131,True,0.692694,0.003131,0.693131,1.306869,0.832808,0.042788
dense_random,82,100,4435,0.89596,True,0.895507,0.001062,0.89596,1.10404,0.929509,0.015194
powerlaw,82,100,291,0.058788,False,0.154078,0.016444,0.058788,2.611515,2.624052,0.3621
powerlaw,82,100,475,0.09596,False,0.170528,0.012517,0.09596,2.226667,1.632545,0.256162
complete,82,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,82,100,512,0.103434,False,0.692502,0.031746,0.103434,4.111111,3.223864,0.646811
unit_disk,82,100,1010,0.20404,False,0.705061,0.015382,0.20404,2.507475,2.111429,0.543145
grid_2d,82,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,82,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,83,100,3418,0.690505,True,0.689572,0.003158,0.690505,1.309495,0.831285,0.048924
dense_random,83,100,4444,0.897778,True,0.897735,0.001043,0.897778,1.102222,0.931048,0.017342
powerlaw,83,100,291,0.058788,False,0.117802,0.016267,0.058788,2.594141,2.01969,0.350586
powerlaw,83,100,475,0.09596,False,0.171483,0.012639,0.09596,2.238586,1.632946,0.243552
complete,83,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,83,100,517,0.104444,False,0.658664,0.027524,0.104444,3.697374,3.362439,0.637361
unit_disk,83,100,1055,0.213131,False,0.687631,0.014156,0.213131,2.387273,2.041058,0.50281
grid_2d,83,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,83,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,84,100,3442,0.695354,True,0.695377,0.003109,0.695354,1.304646,0.83415,0.045827
dense_random,84,100,4383,0.885455,True,0.885678,0.001169,0.885455,1.114545,0.923875,0.018184
powerlaw,84,100,291,0.058788,False,0.160106,0.016137,0.058788,2.581414,2.758504,0.34839
powerlaw,84,100,475,0.09596,False,0.213635,0.012348,0.09596,2.210101,2.060566,0.253529
complete,84,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,84,100,452,0.091313,False,0.715777,0.032566,0.091313,4.191515,3.911732,0.699646
