graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
powerlaw,104,100,291,0.058788,False,0.178115,0.01585,0.058788,2.553333,3.10254,0.365708
powerlaw,104,100,475,0.09596,False,0.206488,0.012465,0.09596,2.221616,1.981306,0.253602
complete,104,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,104,100,484,0.097778,False,0.647711,0.028085,0.097778,3.752323,3.581365,0.675172
unit_disk,104,100,995,0.20101,False,0.678905,0.014677,0.20101,2.438384,2.132844,0.511424
grid_2d,104,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,104,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,105,100,3527,0.712525,True,0.712764,0.002933,0.712525,1.287475,0.840683,0.046582
dense_random,105,100,4487,0.906465,True,0.906126,0.000954,0.906465,1.093535,0.936129,0.017323
powerlaw,105,100,291,0.058788,False,0.104627,0.016658,0.058788,2.632525,1.767642,0.328657
powerlaw,105,100,475,0.09596,False,0.176429,0.012608,0.09596,2.235556,1.682323,0.258748
complete,105,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,105,100,507,0.102424,False,0.635354,0.02692,0.102424,3.638182,3.389567,0.657688
unit_disk,105,100,1022,0.206465,False,0.672662,0.014193,0.206465,2.390909,2.079637,0.495067
grid_2d,105,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,105,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,106,100,3455,0.69798,True,0.698288,0.003082,0.69798,1.30202,0.835429,0.046268
dense_random,106,100,4457,0.900404,True,0.901039,0.001016,0.900404,1.099596,0.933367,0.015895
powerlaw,106,100,291,0.058788,False,0.176342,0.016106,0.058788,2.578384,3.041821,0.354773
powerlaw,106,100,475,0.09596,False,0.209194,0.012274,0.09596,2.202828,2.024391,0.261332
complete,106,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,106,100,531,0.107273,False,0.642257,0.026764,0.107273,3.622828,3.221079,0.620623
unit_disk,106,100,1090,0.220202,False,0.684315,0.014172,0.220202,2.388889,1.943857,0.464562
grid_2d,106,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,106,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,107,100,3482,0.703434,True,0.702309,0.003026,0.703434,1.296566,0.835696,0.039669
dense_random,107,100,4465,0.90202,True,0.901857,0.001,0.90202,1.09798,0.93354,0.016202
powerlaw,107,100,291,0.058788,False,0.166204,0.015986,0.058788,2.566667,2.880021,0.355853
powerlaw,107,100,475,0.09596,False,0.213349,0.012373,0.09596,2.212525,2.055554,0.250174
complete,107,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,107,100,501,0.101212,False,0.662723,0.02961,0.101212,3.901818,3.353404,0.620051
unit_disk,107,100,1049,0.211919,False,0.685849,0.014618,0.211919,2.432525,2.013092,0.488657
grid_2d,107,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,107,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,108,100,3426,0.692121,True,0.692481,0.003142,0.692121,1.307879,0.83341,0.043699
dense_random,108,100,4464,0.901818,True,0.902531,0.001002,0.901818,1.098182,0.934322,0.014255
powerlaw,108,100,291,0.058788,False,0.133579,0.016543,0.058788,2.621212,2.266517,0.347126
powerlaw,108,100,475,0.09596,False,0.175888,0.012589,0.09596,2.233737,1.678531,0.242287
complete,108,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,108,100,509,0.102828,False,0.667828,0.030866,0.102828,4.024848,3.202439,0.661058
unit_disk,108,100,970,0.19596,False,0.697333,0.016056,0.19596,2.573535,2.147456,0.518938
grid_2d,108,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,108,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,109,100,3490,0.705051,True,0.705643,0.00301,0.705051,1.294949,0.838331,0.04652
dense_random,109,100,4438,0.896566,True,0.896515,0.001055,0.896566,1.103434,0.930296,0.018259
powerlaw,109,100,291,0.058788,False,0.121377,0.016623,0.058788,2.629091,2.053307,0.362614
powerlaw,109,100,475,0.09596,False,0.198587,0.012356,0.09596,2.210909,1.914722,0.240745
complete,109,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,109,100,500,0.10101,False,0.633046,0.028573,0.10101,3.800202,3.298329,0.595328
unit_disk,109,100,1073,0.216768,False,0.691761,0.014459,0.216768,2.41697,1.983065,0.464967
grid_2d,109,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,109,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,110,100,3432,0.693333,True,0.694641,0.003129,0.693333,1.306667,0.834976,0.047065
dense_random,110,100,4450,0.89899,True,0.899516,0.001031,0.89899,1.10101,0.932382,0.020565
powerlaw,110,100,291,0.058788,False,0.122178,0.01699,0.058788,2.665051,2.038983,0.344345
powerlaw,110,100,475,0.09596,False,0.222281,0.012395,0.09596,2.214747,2.139453,0.246958
complete,110,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,110,100,504,0.101818,False,0.707508,0.028048,0.101818,4.047256,3.005673,0.682213
unit_disk,110,100,1007,0.203434,False,0.701602,0.015378,0.203434,2.507071,2.109758,0.477205
grid_2d,110,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,110,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,111,100,3438,0.694545,True,0.693921,0.003117,0.694545,1.305455,0.833084,0.044446
